Subject,Block,Trial,FixationSeq,AOI,StartTime_ms,EndTime_ms,Duration_ms,SampleCount,Mean_X,Mean_Y,SD_X,SD_Y
991,1,4,8,A2,1544,1689,145,146,939.969097985162,594.357294294569,1.99996240746426,4.72249386061938
991,1,5,1,NaN,0,177,177,178,981.120456001975,160.96136340228,0.612438507058267,2.51087382954553
991,1,5,2,A1,202,376,174,175,915.01618595895,409.363005709786,1.86551381477605,6.09538851184128
991,1,5,3,A1,380,570,190,191,928.310317589492,466.715871901739,1.8360752126552,3.47657056229499
991,1,5,4,A2,583,954,371,372,945.566621357686,630.263786439638,2.39413140211535,6.8151713878591
991,1,5,5,B1,982,1318,336,337,1264.29268489097,493.28716366896,13.6614671842853,14.4145533552353
991,1,5,6,B2,1328,1582,254,255,1300.397628362,650.985967945204,2.58297969125831,7.12316535919239
991,1,5,7,B3,1588,1787,199,200,1288.77499759558,723.546969635318,3.89554265638699,3.58077525956308
991,1,5,8,A3,1822,2078,256,257,943.072743614047,742.336861404718,5.13074802874412,4.63489467566026
991,1,5,9,A1,2111,2284,173,174,950.083430268044,406.361919757932,1.88856878085808,3.99178803462959
991,1,5,10,A,2293,2570,277,278,957.556158646293,304.63496360226,4.605309823432,4.79039692628298
991,1,6,1,NaN,0,170,170,171,992.315680870643,170.080473679763,1.28572144494469,4.76147744773053
991,1,6,2,A1,190,369,179,180,970.875562860725,415.864045303859,2.24705027450665,7.71539513205765
991,1,6,3,A1,375,540,165,166,957.117073245165,507.92561070512,1.56678598890166,6.90463976888423
991,1,6,4,A2,551,713,162,163,956.526088548743,639.406210952664,2.85447724926007,4.62710064787062
991,1,6,5,B1,743,1012,269,270,1289.31996109237,510.589924598808,4.24919554847296,2.95179454337802
991,1,6,6,B2,1022,1183,161,162,1296.0703086853,631.419373893738,2.83279150456189,7.65058000318543
991,1,6,7,A3,1212,1411,199,200,978.528787478052,745.146969727796,5.59138443076926,3.52287581050597
991,1,7,1,NaN,0,172,172,173,982.224562081677,143.918128387273,0.889552394976048,4.39722951948084
991,1,7,2,A1,197,459,262,263,944.889272287888,434.766858623402,1.73335754712428,9.74023301030561
991,1,7,3,A2,470,700,230,231,939.229038821558,590.788865135226,1.04039129967056,7.55839638984499
